BUNDLE;GZIP;SIZE
apps/site-navigation/site-navigation-menu-item-asset-vocabulary/__liferay__/index.js;2497;8783
apps/site-navigation/site-navigation-menu-item-display-page/__liferay__/index.js;2558;8286
apps/site-navigation/site-navigation-menu-item-layout/__liferay__/index.js;871;1874
apps/site-navigation/site-navigation-menu-web/__liferay__/index.js;1412;3899
apps/site/site-admin-web/__liferay__/index.js;3357;9935
apps/site/site-memberships-web/__liferay__/index.js;2133;9733
apps/site/site-my-sites-web/__liferay__/index.js;256;344
apps/site/site-sitemap-web/__liferay__/index.js;1212;2413
apps/site/site-teams-web/__liferay__/index.js;953;3176
apps/social/social-bookmarks-taglib/__liferay__/index.js;413;732
apps/staging/staging-bar-web/__liferay__/index.js;1698;4494
apps/staging/staging-processes-web/__liferay__/index.js;678;1106
apps/staging/staging-taglib/__liferay__/index.js;2420;6646
apps/style-book/style-book-web/__liferay__/index.js;10242;39041
apps/template/template-taglib/__liferay__/index.js;1054;2669
apps/template/template-web/__liferay__/index.js;7488;25480
apps/translation/translation-web/__liferay__/index.js;7476;29888
apps/trash/trash-taglib/__liferay__/index.js;537;818
apps/trash/trash-web/__liferay__/index.js;1146;2612
apps/user-associated-data/user-associated-data-web/__liferay__/index.js;559;898
apps/user-groups-admin/user-groups-admin-web/__liferay__/index.js;948;1863
apps/users-admin/users-admin-web/__liferay__/index.js;3265;11226
apps/wiki/wiki-web/__liferay__/index.js;1904;5879
